"1 Click Order","Замовлення в 1 Клік"
"Admin Email Template","Адмін шаблон для Замовлення в 1 Клік"
"By default uses General Store Email [General=>Store Email Addresses=>General Contact]","За замовчуванням використовується основна адреса магазину [Загальні=>адреса магазину=>Основна адреса]"
"Create Magento Order","Створювати Замовлення в Magento"
"If select more, than one option, on frontend will be shown select-box with selected phone codes","Відображення списку кодів на вітрині"
"One Click Order General Settings","Замовлення в 1 Клік. Загальні Налаштування"
"Send Email with order info","Надсилати e-mail Адміністратору про Замовлення"
"Code","Код"
"Manager will call you, knows all details and will help place your order.","Менеджер зателефонує вам, дізнається всі деталі та допоможе оформити Замовлення."
"Place Order","Оформити Замовлення"
"Comment:","Коментар"
"Add comment","Додати коментар"
"phone number","ваш номер телефону"
"Submit Order...","Збереження Замовлення"
"Your order # is: %s. Manager will call you to %s","Номер Замовлення %s. Менеджер зателефонує Вам на номер %s"
"Phone","Телефон"
"One Click Order","Замовлення в 1 Клік"
"OneClick Order Admin Email template","Адмін шаблон для Замовлення в 1 Клік"
"View Magento Order","Перейти до Замовлення в Magento"
"Email Address","E-mail адреса"
"Order Now","Замовити"
"Change standard One Page Checkout","Змінити стандартне оформлення Кошика Замовлень"
"If yes, than standard One Page Checkout will be replaced by One Click Order","Якщо включено, то стандартний чекаут не буде доступний"
"One Click Order Checkout Settings","Налаштування оформлення Замовлення в 1 Клік."
"Total items","Загальна кіл-ть"
"Controls whether create Magento Order if possible.","Якщо включено, то Замовлення буде збережено в Magento"
