"All Categories","Все категории"
"Daily deal","Скидка дня"
"Additional","Характеристики"
"Register new account","Создать учётную запись"
"Type comment here","Введите здесь свой комментарий"
"State/Province","Регион/Область"
"Cart Totals","Итого"
"More in %s...","Больше в %s..."
"Blog Categories","Разделы"
"Tag Cloud","Теги"
"Text published:","текст:"
"Especially for Shop-IT.com.ua","специально для Shop-IT.com.ua"
"View Cart","В корзину"
"Quality","Качественный"
"You've just added this product to the cart:","Товар добавлен в корзину:"
"Please accept terms and conditions","Пожалуйста, примите условия"
"Leave Comment","Оставить комментарий"
"Contact Details","Контактная информация"
"Scheduler","Планировщик"
"Job Configuration","Конфигурация работы"
"List View","Посмотреть список"
"Timeline View","Просмотр хронологии"
"Enter your e-mail Address","Введите ваш адрес электронной почты"
"Please Login First","Пожалуйста, войдите сначала"
"Go!","Отправить"
"Don't show this popup again","Не показывать это сообщение снова"
"Read more >","Читать дальше >"
"name","Название компании"
