Standard,Стандартно
Minimal,Мінімум
Optional,Вибірково
Required,Обов'язково
Hidden,Сховане
The one page checkout is disabled.,One page checkout відключений.
One Page Checkout Section,Секція One Page Checkout
One Page Checkout,One Page Checkout
Default Shipping Method,Метод доставки по замовченню
Default Payment Method,Платіжний метод по замовченню
Default Country,Країна по замовченню
GeoIP,GeoIP
Enable Country Detection,Включити Автовиявлення країни
<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Загрузить базу GeoIP'>Загрузить</a> и распаковать файл в папке 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' якщо его там нет
Enable City Detection,Включити автовизначення міста
<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it,<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Загрузить базу GeoCity'>Загрузить</a> и распаковать файл в папке 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' якщо его там нет
Show Shipping Address Form,Показати форму Адреси доставки
Show Subscribe to Newsletter Checkbox,Показати чекбокс для підписки на новини
Address Form Fields,Поля Форми Адреси
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Перш ніж змінювати поля, переконайтесь, що вони не обов'язкові для Вашого payment/shipping провайдера"
Output Type,Тип виводу
Already registered? Click here to login,Вже зареєстровані? Натисніть, щоб увійти
Show Comment Field,Показати поле для коменту
New Address,Нова адресуа
Country,Країна
Checkout,Замовлення
Coupon code was canceled.,Код знижки відмінено.
Cannot apply the coupon code.,Не можливо застосувати код знижки.
"Coupon code ""%s"" was applied.","Код купона ""%s"" застосовано!"
"Coupon code ""%s"" is not valid.","Код купона ""%s"" недійсний!"
